Facility,Company.x,Total.Stationary.Combusion.2010,diff.11.10,Total.Stationary.Combusion.2011,diff.12.11,Total.Stationary.Combusion.2012,diff.12.10
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-19114,26543,-26543,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-17678,27979,-27979,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-16984,28673,-28673,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-14688,30969,-30969,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-12019,33638,-33638,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-11132,34525,-34525,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-11073,34584,-34584,0,-45657
Trail Operations,Teck Metals Ltd.,376967,-16535,360432,-29858,330574,-46393
Fording River Operations,Teck Coal Limited,143960,-58235,85725,4960,90685,-53275
ANG Moyie Facility,TransCanada PipeLines Ltd.,66259,-43827,22432,-22432,0,-66259
Sierra Dehy Plant (BC BT 0000301),ExxonMobil Canada Ltd.,66694,-66694,0,0,0,-66694
McMahon Cogen Plant,Spectra Energy Transmission,555830,-2834,552996,-65766,487230,-68600
Cariboo Pulp and Paper Facility,Cariboo Pulp and Paper Company,77967,-1300,76667,-76667,0,-77967
McMahon Gas Plant,Spectra Energy Transmission,138125,-84609,53516,550,54066,-84059
Central Heat Distribution Facility,Central Heat Distribution Limited,88706,11081,99787,-99787,0,-88706
Wildboy Gas Plant BCGP00002917,Penn West Petroleum,91212,3189,94401,-94401,0,-91212
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,97737,193462,-193462,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,302354,398079,-398079,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,27042,122767,-122767,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,17925,113650,-113650,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,#VALUE!, -   ,#VALUE!,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,#VALUE!, -   ,#VALUE!,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,#VALUE!, -   ,#VALUE!,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,#VALUE!, -   ,#VALUE!,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-95704,21,-21,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-95664,61,-61,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-95325,400,-400,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-94722,1003,-1003,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-94237,1488,-1488,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-94206,1519,-1519,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-93641,2084,-2084,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-93240,2485,-2485,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-92325,3400,-3400,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-90920,4805,-4805,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-89407,6318,-6318,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-88586,7139,-7139,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-88499,7226,-7226,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-87584,8141,-8141,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-87309,8416,-8416,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-85820,9905,-9905,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-83026,12699,-12699,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-81744,13981,-13981,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-81419,14306,-14306,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-81318,14407,-14407,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-80843,14882,-14882,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-78098,17627,-17627,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-77861,17864,-17864,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-75923,19802,-19802,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-69401,26324,-26324,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-69182,26543,-26543,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-67746,27979,-27979,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-67052,28673,-28673,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-64756,30969,-30969,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-62087,33638,-33638,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-61200,34525,-34525,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-61141,34584,-34584,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-54689,41036,-41036,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-36952,58773,-58773,0,-95725
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Devon Canada Corporation,95725,-25375,70350,-70350,0,-95725
Kamloops Mill,Domtar Inc.,200584,-92880,107704,-5116,102588,-97996
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,73163,193462,-193462,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,277780,398079,-398079,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,2468,122767,-122767,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,#VALUE!, -   ,#VALUE!,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,#VALUE!, -   ,#VALUE!,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,#VALUE!, -   ,#VALUE!,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,#VALUE!, -   ,#VALUE!,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-93975,26324,-26324,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-93756,26543,-26543,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-92320,27979,-27979,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-91626,28673,-28673,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-89330,30969,-30969,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-86661,33638,-33638,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-85774,34525,-34525,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-85715,34584,-34584,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-79263,41036,-41036,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-6649,113650,-113650,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-61526,58773,-58773,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-49949,70350,-70350,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-120278,21,-21,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-120238,61,-61,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-119899,400,-400,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-119296,1003,-1003,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-118811,1488,-1488,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-118780,1519,-1519,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-118215,2084,-2084,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-117814,2485,-2485,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-116899,3400,-3400,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-115494,4805,-4805,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-113981,6318,-6318,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-113160,7139,-7139,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-113073,7226,-7226,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-112158,8141,-8141,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-111883,8416,-8416,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-110394,9905,-9905,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-107600,12699,-12699,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-106318,13981,-13981,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-105993,14306,-14306,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-105892,14407,-14407,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-105417,14882,-14882,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-102672,17627,-17627,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-102435,17864,-17864,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Progress Energy Resources Corp.,120299,-100497,19802,-19802,0,-120299
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,57937,193462,-193462,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,262554,398079,-398079,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,#VALUE!, -   ,#VALUE!,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,#VALUE!, -   ,#VALUE!,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,#VALUE!, -   ,#VALUE!,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,#VALUE!, -   ,#VALUE!,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-94489,41036,-41036,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-76752,58773,-58773,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-65175,70350,-70350,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-21875,113650,-113650,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-135504,21,-21,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-135464,61,-61,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-135125,400,-400,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-134522,1003,-1003,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-134037,1488,-1488,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-134006,1519,-1519,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-133441,2084,-2084,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-133040,2485,-2485,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-132125,3400,-3400,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-130720,4805,-4805,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-129207,6318,-6318,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-128386,7139,-7139,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-128299,7226,-7226,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-12758,122767,-122767,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-127384,8141,-8141,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-127109,8416,-8416,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-125620,9905,-9905,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-122826,12699,-12699,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-121544,13981,-13981,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-121219,14306,-14306,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-121118,14407,-14407,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-120643,14882,-14882,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-117898,17627,-17627,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-117661,17864,-17864,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-115723,19802,-19802,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-109201,26324,-26324,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-108982,26543,-26543,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-107546,27979,-27979,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-106852,28673,-28673,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-104556,30969,-30969,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-101887,33638,-33638,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-101000,34525,-34525,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ConocoPhillips Canada Resources Corp.,135525,-100941,34584,-34584,0,-135525
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EnCana Corporation,222816,175263,398079,-398079,0,-222816
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EnCana Corporation,222816,#VALUE!, -   ,#VALUE!,0,-222816
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EnCana Corporation,222816,#VALUE!, -   ,#VALUE!,0,-222816
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EnCana Corporation,222816,#VALUE!, -   ,#VALUE!,0,-222816
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EnCana Corporation,222816,#VALUE!, -   ,#VALUE!,0,-222816
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EnCana Corporation,222816,-29354,193462,-193462,0,-222816
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EnCana Corporation,222816,-222795,21,-21,0,-222816
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EnCana Corporation,222816,-222755,61,-61,0,-222816
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EnCana Corporation,222816,-222416,400,-400,0,-222816
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EnCana Corporation,222816,-221813,1003,-1003,0,-222816
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EnCana Corporation,222816,-221328,1488,-1488,0,-222816
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EnCana Corporation,222816,-221297,1519,-1519,0,-222816
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EnCana Corporation,222816,-220732,2084,-2084,0,-222816
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EnCana Corporation,222816,-220331,2485,-2485,0,-222816
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EnCana Corporation,222816,-219416,3400,-3400,0,-222816
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EnCana Corporation,222816,-218011,4805,-4805,0,-222816
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EnCana Corporation,222816,-216498,6318,-6318,0,-222816
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EnCana Corporation,222816,-215677,7139,-7139,0,-222816
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EnCana Corporation,222816,-215590,7226,-7226,0,-222816
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EnCana Corporation,222816,-214675,8141,-8141,0,-222816
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EnCana Corporation,222816,-214400,8416,-8416,0,-222816
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EnCana Corporation,222816,-212911,9905,-9905,0,-222816
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EnCana Corporation,222816,-210117,12699,-12699,0,-222816
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EnCana Corporation,222816,-208835,13981,-13981,0,-222816
